Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Total
2018,4,Misiones,55500,53673,465,426,116273
2018,4,Neuquén,40747,55634,3115,12425,114365
2018,4,Río Negro,68377,34292,1299,8037,116837
2018,4,Salta,74295,57539,638,253,134578
2018,4,San Juan,51660,5838,806,2883,62398
2018,4,San Luis,11108,7784,378,53097,96331
2018,4,Santa Cruz,10659,4615,382,6378,24768
2018,4,Santa Fe,335519,322782,14387,18705,720390
2018,4,Santiago Del Estero,25339,61243,23,2649,89335
2018,4,Tierra Del Fuego,19789,23349,1623,0,46260
2018,4,Tucumán,159215,11670,119,686,172004
2018,3,Buenos Aires,1435856,1929273,156382,62318,3610277
2018,3,Capital Federal,334353,1009252,35694,3872,1392490
2018,3,Catamarca,27553,4443,15,1,34226
2018,3,Chaco,53927,42359,1990,2628,102033
2018,3,Chubut,58887,23065,1239,13817,103736
2018,3,Córdoba,337620,342401,15785,19213,725858
2018,3,Corrientes,56444,41300,212,1468,99456
2018,3,Entre Ríos,103318,83714,2403,15093,204608
2018,3,Formosa,22777,7589,817,13625,44865
2018,3,Jujuy,33363,10856,32,641,44935
2018,3,La Pampa,12415,54574,8437,7011,83424
2018,3,La Rioja,16587,34984,13,253,51872
2018,3,Mendoza,151033,40205,5744,8195,207029
2018,3,Misiones,56290,50793,512,391,108042
2018,3,Neuquén,46602,54129,998,12277,116718
2018,3,Río Negro,68590,33474,1252,5051,113492
2018,3,Salta,76600,53980,678,234,132883
2018,3,San Juan,54025,5838,826,2744,64481
2018,3,San Luis,11096,7784,368,52859,74421
2018,3,Santa Cruz,18606,4574,585,6238,33999
2018,3,Santa Fe,339126,312866,11749,16337,695100
2018,3,Santiago Del Estero,25805,58789,23,1662,86360
2018,3,Tierra Del Fuego,19365,22649,1502,1,45564
2018,3,Tucumán,161209,9280,110,252,171166
2018,2,Buenos Aires,1450203,1807868,143626,71256,3500699
2018,2,Capital Federal,342431,977916,35610,3908,1369186
2018,2,Catamarca,27444,4415,15,1,34089
2018,2,Chaco,54134,40750,562,1946,98521
2018,2,Chubut,58935,19591,1239,14070,100564
2018,2,Córdoba,345141,327636,13832,16355,713073
2018,2,Corrientes,56541,39715,201,1468,97957
2018,2,Entre Ríos,104811,80376,2405,12313,199985
2018,2,Formosa,23543,7311,18,13625,44554
2018,2,Jujuy,33571,10856,23,640,45133
2018,2,La Pampa,12416,53587,8420,7011,82421
2018,2,La Rioja,16663,34984,13,253,51948
2018,2,Mendoza,152938,36872,3084,6206,200952
2018,2,Misiones,57265,47923,512,391,106147
2018,2,Neuquén,46633,52855,998,12649,115848
2018,2,Río Negro,68667,32795,1252,4396,112235
